Date_and_Time,Reported_range_in_cm,Temperature_in_degree_celcius,Daily_accumulative_rain_in_mm
1/4/2021 13:10,225.3,-0.4,0
1/4/2021 12:50,224.8,-0.6,0
1/4/2021 12:40,224.2,-0.5,0
1/4/2021 12:30,224.1,-0.6,0
1/4/2021 12:20,223.9,-1.8,0
1/4/2021 12:10,224,-1.4,0
1/4/2021 12:00,225,-1.2,0
1/4/2021 11:40,226.7,1.3,0
1/4/2021 11:30,226.8,7.6,0
1/4/2021 11:20,227.6,9.1,0
1/4/2021 11:10,227.5,10,0
1/4/2021 11:00,227.1,9,0
1/4/2021 10:50,228.1,10,0
1/4/2021 10:40,228,10.5,0
1/4/2021 10:30,226,7.5,0
1/4/2021 10:20,224.7,2.5,0
1/4/2021 10:10,225.2,1.1,0
1/4/2021 10:00,224.1,-0.2,0
1/4/2021 9:50,224.6,-0.3,0
1/4/2021 9:40,225.4,1.5,0
1/4/2021 9:30,224.2,1.9,0
1/4/2021 9:20,224.8,2.4,0
1/4/2021 9:00,224.7,3,0
1/4/2021 8:50,224.7,2.2,0
1/4/2021 8:40,223.9,1.6,0
1/4/2021 8:30,223.8,0,0
1/4/2021 8:20,223.7,-1.9,0
1/4/2021 8:00,223.9,-2.3,0
1/4/2021 7:50,223.7,-1.2,0
1/4/2021 7:40,223.3,-1.1,0
1/4/2021 7:30,222.8,-1.2,0
1/4/2021 7:20,223.1,-2.9,0
1/4/2021 7:10,222.7,-2.5,0
1/4/2021 6:50,223.3,-2.2,0
1/4/2021 6:40,223.3,-2.5,0
1/4/2021 6:30,223.1,-2.2,0
1/4/2021 6:20,223.4,-2.7,0
1/4/2021 6:10,223.2,-2.3,0
1/4/2021 6:00,222.9,-2.6,0
1/4/2021 5:40,222.7,-2.4,0
1/4/2021 5:30,223.5,-2.1,0
1/4/2021 5:20,222.7,-3.2,0
1/4/2021 5:10,222.8,-3.7,0
1/4/2021 5:00,222.9,-3.4,0
1/4/2021 4:50,223,-3.4,0
1/4/2021 4:40,222.7,-3.5,0
1/4/2021 4:30,223.1,-3.4,0
1/4/2021 4:10,223,-2.7,0
1/4/2021 4:00,222.9,-2.5,0
1/4/2021 3:50,222.9,-2.7,0
1/4/2021 3:40,222.6,-2.2,0
1/4/2021 3:30,223.1,-2.8,0
1/4/2021 3:20,223.1,-2.4,0
1/4/2021 3:00,223,-2.3,0
1/4/2021 2:50,223.1,-2.3,0
1/4/2021 2:40,222.9,-2.5,0
1/4/2021 2:30,223,-2.6,0
1/4/2021 2:20,223,-2.8,0
1/4/2021 2:10,222.7,-2.8,0
1/4/2021 2:00,223.5,-2.4,0
1/4/2021 1:50,222.6,-2.2,0
1/4/2021 1:40,223.1,-2.2,0
1/4/2021 1:30,223.8,-2.5,0
1/4/2021 1:20,223,-2.4,0
1/4/2021 1:10,223,-2.5,0
1/4/2021 0:50,223.3,-2.4,0
1/4/2021 0:40,223.6,-2,0
1/4/2021 0:30,223.3,-2,0
1/4/2021 0:20,222.6,-2.2,0
1/4/2021 0:10,222.8,-2.2,0
1/4/2021 0:00,223.2,-2.4,0
1/3/2021 23:40,222.6,-2.3,0
1/3/2021 23:30,223.2,-2,0
1/3/2021 23:20,223,-3.4,0
1/3/2021 23:10,222.8,-2.4,0
1/3/2021 23:00,223.1,-2.6,0
1/3/2021 22:50,222.6,-2.6,0
1/3/2021 22:40,223,-2.7,0
1/3/2021 22:30,223,-2.6,0
1/3/2021 22:10,222.6,-2.6,0
1/3/2021 22:00,223,2.4,0
1/3/2021 21:50,223.4,-2.4,0
1/3/2021 21:30,223.3,-2.2,0
1/3/2021 21:20,223.3,-2.3,0
1/3/2021 21:10,222.7,-2.6,0
1/3/2021 20:50,223.1,-2.3,0
1/3/2021 20:40,223.5,-2.3,0
1/3/2021 20:30,222.5,-2.3,0
1/3/2021 20:20,222.6,-2.2,0
1/3/2021 20:10,222.7,-3.5,0
1/3/2021 20:00,222.8,-3.2,0
1/3/2021 19:40,222.5,-3.4,0
1/3/2021 19:30,222.7,-3.3,0
1/3/2021 19:20,222.8,-2,0
1/3/2021 19:10,222.4,-3.2,0
1/3/2021 19:00,222.9,-3.4,0
1/3/2021 18:50,222.8,-2.1,0
1/3/2021 18:40,222.5,-2.2,0
1/3/2021 18:30,222.8,-2.5,0
1/3/2021 18:10,223,-3.4,0
1/3/2021 18:00,222.5,-3.7,0
1/3/2021 17:50,222.7,-3.7,0
1/3/2021 17:40,222.7,-2.6,0
1/3/2021 17:30,223.3,-1.9,0
1/3/2021 17:20,223.2,-1.3,0
1/3/2021 17:10,222.7,-1.2,0
1/3/2021 16:50,223.2,-1,0
1/3/2021 16:40,223.3,-1.5,0
1/3/2021 16:30,223.6,0,0
1/3/2021 16:20,224.4,1.1,0
1/3/2021 16:10,225,3.5,0
1/3/2021 16:00,226.1,6.6,0
1/3/2021 15:40,225.1,3.3,0
1/3/2021 15:30,226.2,5.5,0
1/3/2021 15:20,226,7.9,0
1/3/2021 15:10,224.1,3.4,0
1/3/2021 15:00,225.1,2.3,0
1/3/2021 14:50,226.8,5.5,0
1/3/2021 14:40,227.3,8.3,0
1/3/2021 14:30,226.7,6.2,0
1/3/2021 14:10,228.1,10.1,0
1/3/2021 14:00,228.4,10.2,0
1/3/2021 13:50,228.2,10.5,0
1/3/2021 13:40,227.8,9.9,0
1/3/2021 13:30,228.2,11.2,0
1/3/2021 13:20,229.3,12.5,0
1/3/2021 13:00,229.7,14.5,0
1/3/2021 12:50,230.3,14.2,0
1/3/2021 12:40,229.6,14.2,0
1/3/2021 12:30,229.7,14.5,0
1/3/2021 12:20,230,14,0
1/3/2021 12:10,230.3,16.2,0
1/3/2021 12:00,231.2,18.3,0
1/3/2021 11:50,230.5,17.2,0
1/3/2021 11:40,230.1,16.3,0
1/3/2021 11:20,230.5,17.5,0
1/3/2021 11:10,229.4,15.2,0
1/3/2021 11:00,228.9,13.2,0
1/3/2021 10:50,227.1,8.2,0
1/3/2021 10:40,228.1,9,0
1/3/2021 10:30,228.2,11.5,0
1/3/2021 10:10,228.3,12.1,0
1/3/2021 10:00,229.1,14.5,0
1/3/2021 9:50,228.7,13.7,0
1/3/2021 9:40,228.3,14.5,0
1/3/2021 9:30,227.3,11.1,0
1/3/2021 9:20,226.7,7.1,0
1/3/2021 9:10,227.2,8.2,0
1/3/2021 9:00,226.2,8.1,0
1/3/2021 8:50,225.4,6.4,0
1/3/2021 8:30,224.5,3.6,0
1/3/2021 8:20,223.8,1.2,0
1/3/2021 8:10,223,-1.9,0
1/3/2021 8:00,222.3,-2.2,0
1/3/2021 7:50,223.4,-3.3,0
1/3/2021 7:40,223.1,-3.1,0
1/3/2021 7:30,223.1,-3.9,0
1/3/2021 7:20,222.5,-3.2,0
1/3/2021 7:10,223.3,-2,0
1/3/2021 6:50,222.8,-2.6,0
1/3/2021 6:40,223,-2.8,0
1/3/2021 6:30,222.6,-2.7,0
1/3/2021 6:20,223.1,-2.9,0
1/3/2021 6:10,223.1,-2.8,0
1/3/2021 6:00,222.9,-2.6,0
1/3/2021 5:40,223.1,-2.6,0
1/3/2021 5:30,223.3,-2.7,0
1/3/2021 5:20,222.9,-2.4,0
1/3/2021 5:10,223.5,-3.5,0
1/3/2021 5:00,223,-3.3,0
1/3/2021 4:50,222.5,-3.3,0
1/3/2021 4:40,223.1,-3.5,0
1/3/2021 4:30,225.1,-3.5,0
1/3/2021 4:10,222.9,-3.4,0
1/3/2021 4:00,222.9,-3.3,0
1/3/2021 3:50,222.6,-3.3,0
1/3/2021 3:40,223.3,-2.1,0
1/3/2021 3:30,222.7,-2.9,0
1/3/2021 3:20,223.1,-2.8,0
1/3/2021 3:00,222.9,-2.7,0
1/3/2021 2:50,223.9,-2.7,0
1/3/2021 2:40,222.9,-2.9,0
1/3/2021 2:30,222.7,-2.8,0
1/3/2021 2:20,223.1,-2.2,0
1/3/2021 2:10,222.7,-3.5,0
1/3/2021 2:00,222.7,-3.3,0
1/3/2021 1:50,222.4,-2,0
1/3/2021 1:40,222.5,-2.3,0
1/3/2021 1:30,222.8,-2.2,0
1/3/2021 1:20,223.5,-2.1,0
1/3/2021 1:10,224.3,-2.2,0
1/3/2021 0:50,222.4,-2.6,0
1/3/2021 0:40,223.1,-2.1,0
1/3/2021 0:30,222.5,-3.2,0
1/3/2021 0:20,222.3,-3,0
1/3/2021 0:10,222.5,-3.2,0
1/3/2021 0:00,222.7,-3.5,0
1/2/2021 23:40,222.7,-3.4,0
1/2/2021 23:30,222.3,-3.1,0
1/2/2021 23:10,222.7,-3.3,0
1/2/2021 23:00,223.1,-3.4,0
1/2/2021 22:50,222.8,-3.8,0
1/2/2021 22:40,223.1,-3.2,0
1/2/2021 22:30,221.9,-3,0
1/2/2021 22:10,222.2,-3,0
1/2/2021 22:00,222,-4.5,0
1/2/2021 21:50,221.7,-3.2,0
1/2/2021 21:40,222.9,-3.5,0
1/2/2021 21:30,223.1,-3.6,0
1/2/2021 21:20,222.4,-3.4,0
1/2/2021 21:00,223.3,-3.5,0
1/2/2021 20:50,222.5,-3.7,0
1/2/2021 20:40,223.2,-3.7,0
1/2/2021 20:30,222.5,-3.8,0
1/2/2021 20:20,222.5,-3.3,0
1/2/2021 20:10,223.3,-3.1,0
1/2/2021 20:00,222.5,-4.5,0
1/2/2021 19:50,222.9,-3.1,0
1/2/2021 19:40,223.7,-3.3,0
1/2/2021 19:20,222.5,-4.1,0
1/2/2021 19:10,222.7,-4.7,0
1/2/2021 19:00,222.8,-4.9,0
1/2/2021 18:50,222.4,-4.5,0
1/2/2021 18:40,224.1,-4.2,0
1/2/2021 18:30,222.8,-4.3,0
1/2/2021 18:10,222.6,-4.3,0
1/2/2021 18:00,223,-4,0
1/2/2021 17:50,222.4,-4.5,0
1/2/2021 17:40,223.2,-3.3,0
1/2/2021 17:30,222.4,-3.1,0
1/2/2021 17:20,222.5,-3.3,0
1/2/2021 17:10,222.8,-3.4,0
1/2/2021 17:00,223.1,-2.4,0
1/2/2021 16:50,223.3,-2.9,0
1/2/2021 16:30,223.8,-1.1,0
1/2/2021 16:20,224.7,-0.1,0
1/2/2021 16:10,226.4,2.9,0
1/2/2021 15:50,228.8,12.3,0
1/2/2021 15:40,229.8,13,0
1/2/2021 15:30,230,14.7,0
1/2/2021 15:20,230.7,15.6,0
1/2/2021 15:10,231.4,17.3,0
1/2/2021 15:00,229.9,16.4,0
1/2/2021 14:40,230.9,15.5,0
1/2/2021 14:30,230.4,16.1,0
1/2/2021 14:20,230.3,15.5,0
1/2/2021 14:10,229.6,13.3,0
1/2/2021 14:00,230.1,13.8,0
1/2/2021 13:50,229.8,14.1,0
1/2/2021 13:30,230,14,0
1/2/2021 13:20,229.3,12.6,0
1/2/2021 13:10,229.4,12.7,0
1/2/2021 13:00,228.9,12.1,0
1/2/2021 12:50,228.5,11.4,0
1/2/2021 12:40,227.6,10,0
1/2/2021 12:30,228.1,10.8,0
1/2/2021 12:20,228.6,11.2,0
1/2/2021 12:00,229.5,12.6,0
1/2/2021 11:50,228.8,12.2,0
1/2/2021 11:40,228.9,11.5,0
1/2/2021 11:30,228.5,12.8,0
1/2/2021 11:20,229.3,13.3,0
1/2/2021 11:10,231,18.4,0
1/2/2021 10:50,230,19.1,0
1/2/2021 10:40,229.6,17.6,0
1/2/2021 10:30,230.1,16.5,0
1/2/2021 10:20,229.8,15.6,0
1/2/2021 10:10,229.3,15,0
1/2/2021 10:00,228.7,13.2,0
1/2/2021 9:50,230.4,17.1,0
1/2/2021 9:40,229.4,17.9,0
1/2/2021 9:30,229.1,16,0
1/2/2021 9:20,229.3,16.2,0
1/2/2021 9:10,228.8,15.1,0
1/2/2021 9:00,226.3,12.4,0
1/2/2021 8:40,224.8,6.1,0
1/2/2021 8:30,226.3,4.1,0
1/2/2021 8:20,224.6,4,0
1/2/2021 8:10,224.3,3.1,0
1/2/2021 8:00,224.5,2.1,0
1/2/2021 7:50,223.7,1,0
1/2/2021 7:40,223.6,-0.8,0
1/2/2021 7:30,223.2,-1.2,0
1/2/2021 7:20,222.3,-1.1,0
1/2/2021 7:10,223.6,-1,0
1/2/2021 7:00,224.1,-2.5,0
1/2/2021 6:50,223.5,-2.4,0
1/2/2021 6:40,223.8,-2.4,0
1/2/2021 6:30,222.4,-1,0
1/2/2021 6:20,225.1,-2.4,0
1/2/2021 6:10,224,-2.4,0
1/2/2021 6:00,222.9,-2.5,0
1/2/2021 5:50,223.9,-2.3,0
1/2/2021 5:40,222.9,-2.4,0
1/2/2021 5:30,223.7,-2.4,0
1/2/2021 5:20,222.6,-2.4,0
1/2/2021 5:10,223.5,-2.4,0
1/2/2021 5:00,224.3,-2.2,0
1/2/2021 4:50,222.9,-2,0
1/2/2021 4:40,223.3,-2,0
1/2/2021 4:30,223.8,-2,0
1/2/2021 4:20,223,-2.3,0
1/2/2021 4:10,223.5,-2.9,0
1/2/2021 4:00,224.1,-2,0
1/2/2021 3:50,224.7,-2.2,0
1/2/2021 3:40,222.7,-2.2,0
1/2/2021 3:30,223.4,-2.2,0
1/2/2021 3:20,223.6,-2.1,0
1/2/2021 3:10,222.7,-2.2,0
1/2/2021 3:00,223.4,-2.1,0
1/2/2021 2:50,222.7,-2.2,0
1/2/2021 2:40,223.8,-2.2,0
1/2/2021 2:30,224.8,-2.3,0
1/2/2021 2:20,223.2,-1.2,0
1/2/2021 2:10,224.6,-1,0
1/2/2021 2:00,224.7,-1,0
1/2/2021 1:50,222.9,-1.8,0
1/2/2021 1:40,224.5,-1.1,0
1/2/2021 1:30,223,-1,0
1/2/2021 1:20,223.2,-1,0
1/2/2021 1:00,222.3,-1,0
1/2/2021 0:50,223.3,-1,0
1/2/2021 0:40,222.5,-1.1,0
1/2/2021 0:30,223,-1.2,0
1/2/2021 0:20,223.3,-1.1,0
1/2/2021 0:10,224.4,-1.3,0
1/2/2021 0:00,223.6,-1.3,0
1/1/2021 23:50,222.7,0,0
1/1/2021 23:40,223.4,-1.4,0
1/1/2021 23:30,223.4,-1.8,0
1/1/2021 23:20,225.1,-1.5,0
1/1/2021 23:10,222.8,-1.6,0
1/1/2021 23:00,223.3,-1.1,0
1/1/2021 22:50,223.6,-1.6,0
1/1/2021 22:40,224.3,-1.8,0
1/1/2021 22:30,222.8,-1.2,0
1/1/2021 22:20,223.5,-1.1,0
1/1/2021 22:10,222.8,-1.3,0
1/1/2021 22:00,223.7,-1.5,0
1/1/2021 21:50,224.9,-1.1,0
1/1/2021 21:40,224.1,-1,0
1/1/2021 21:30,224.5,0,0
1/1/2021 21:20,224.5,-1.1,0
1/1/2021 21:10,226,-1.3,0
1/1/2021 21:00,223.1,-1.1,0
1/1/2021 20:50,223.5,-1.6,0
1/1/2021 20:40,224.1,-1.6,0
1/1/2021 20:30,224,-1.5,0
1/1/2021 20:20,223.1,-1.4,0
1/1/2021 20:10,223.7,-1.7,0
1/1/2021 20:00,223.4,-1.4,0
1/1/2021 19:50,224.6,-1.7,0
1/1/2021 19:40,222.5,-1.9,0
1/1/2021 19:30,224.5,-1.7,0
1/1/2021 19:20,224.5,-1.6,0
1/1/2021 19:10,224.1,-1.5,0
1/1/2021 19:00,223.9,-1.2,0
1/1/2021 18:50,223.6,-2.4,0
1/1/2021 18:40,223.5,-1,0
1/1/2021 18:30,224.4,-1.2,0
1/1/2021 18:20,223.2,-1.2,0
1/1/2021 18:10,223.2,-1,0
1/1/2021 18:00,223.1,-2.4,0
1/1/2021 17:40,222.4,-2.5,0
1/1/2021 17:30,223,-2.9,0
1/1/2021 17:20,223.3,-2.1,0
1/1/2021 17:10,224,-2.5,0
1/1/2021 17:00,222.9,-2.5,0
1/1/2021 16:50,225.8,-1.1,0
1/1/2021 16:40,225.8,-1.5,0
1/1/2021 16:30,224.7,-1,0
1/1/2021 16:20,226.6,-0.6,0
1/1/2021 16:00,226.4,4.9,0
1/1/2021 15:50,226.4,5.3,0
1/1/2021 15:40,228.4,7.2,0
1/1/2021 15:30,229.4,9.2,0
1/1/2021 15:20,228.6,8.3,0
1/1/2021 15:10,228.2,7.7,0
1/1/2021 14:50,227.7,8.2,0
1/1/2021 14:40,229.2,8.2,0
1/1/2021 14:30,228.1,7.4,0
1/1/2021 14:20,227.7,8.3,0
1/1/2021 14:10,228.1,9.1,0
1/1/2021 14:00,227.1,8.3,0
1/1/2021 13:50,230.2,9.1,0
1/1/2021 13:40,229.1,9.8,0
1/1/2021 13:30,230.7,11,0
1/1/2021 13:10,229.7,10.3,0
1/1/2021 13:00,230.3,10.3,0
1/1/2021 12:50,228.7,9.3,0